Synonymic sensitivity S_{k,l}  (trained GPT)  -- residual stream (boundary)
rows = layer k (0 = embeddings), cols = swap level l

layer   NT 2  NT 3  NT 4  NT 5  NT 6
    0   1.04  1.07  0.91  0.90  0.57
    1   1.15  1.06  0.88  0.94  0.37
    2   1.16  1.07  0.88  0.92  0.37
    3   1.14  1.05  0.84  0.82  0.37
    4   1.09  1.16  0.79  0.88  0.34
    5   1.13  1.09  0.72  0.71  0.24
    6   1.19  1.19  0.59  0.41  0.19
    7   1.23  1.26  0.40  0.28  0.17
    8   1.33  1.36  0.27  0.17  0.13
    9   1.35  1.14  0.18  0.11  0.15
   10   1.01  0.63  0.11  0.06  0.14
   11   0.86  0.48  0.08  0.03  0.12
   12   0.46  0.27  0.05  0.02  0.11

Synonymic sensitivity S_{k,l}  (trained GPT)  -- block delta (boundary)
(what each block adds, independent of accumulated stream)

layer   NT 2  NT 3  NT 4  NT 5  NT 6
    0   1.04  1.07  0.91  0.90  0.57
    1   1.15  1.06  0.88  0.94  0.37
    2   1.12  1.21  0.82  0.96  0.48
    3   1.13  0.95  0.70  0.76  0.36
    4   0.85  1.37  0.86  1.09  0.44
    5   1.09  0.71  0.59  0.49  0.15
    6   1.08  1.23  0.69  0.51  0.07
    7   1.30  1.61  0.22  0.16  0.11
    8   1.53  1.74  0.15  0.07  0.05
    9   1.52  0.88  0.16  0.06  0.16
   10   0.87  0.28  0.04  0.01  0.08
   11   0.61  0.35  0.04  0.01  0.10
   12   0.32  0.13  0.01  0.00  0.11

(lower = more invariant. Expect S to drop with depth, later for smaller l -- the k~=l+1 staircase.)
